idTrenICHR,id
QCTIR 06,824
FJSXX-10,825
TMEQ 09,826
AVM 08,827
TMXTEV 14,828
TMXHUI 10,829
XIMZMX-13,830
QCTIR-08,831
IMZMX-02,832
QCTIR-02,833
AVM 13,834
XIMZMX 13,835
QCTIR 08,836
AVM 10,837
ILZPN2-22,838
WACEMX 29,839
DIRMX  28,840
2MLRMX05,841
TMEQ 07,842
TMA 07,843
TMI 14,844
TMTQ-31,845
LMXDX31,846
AHM 05,847
OPM 07,848
LMXDX09,849
APL 13,850
TMXTEV 26,851
MMYMX-06,852
LMXDX07,853
DPNMX  11,854
FXXMZ-06,855
2IVM 09,856
GNLMX22,857
OPJM-03,858
OPMQ 12,859
ILZPN29,860
ILZPN222,861
TMEQ 29,862
TMI-29,863
ILZPN23,864
GVM 29,865
TMXTEV-09,866
TMTQ-03,867
XDIRMX 13,868
3GVM 05,869
APL 29,870
INEMX  10,871
2INEMX  10,872
AHM 28,873
AHM-10,874
TMTQ 31,875
IMIMX  12,876
FAZXX-16,877
APL 14,878
DPMQ 14,879
TMTQ 03,880
2MLRMX08,881
FXXMZ 15,882
XIGDMX 14,883
MVCMX-16,884
LMXXI17,885
DCM 08,886
TMI 09,887
DCM-14,888
APL-15,889
MVCMX07,890
TMXTEV 07,891
QCTIR-11,892
DIRMX-15,893
LMXXI03,894
AVM 14,895
MVCMX-14,896
TMTQ-15,897
TMEQ-11,898
LMXDX11,899
DIRMX 10,900
APL 15,901
DIRMX 14,902
2MMYMX09,903
DVM 26,904
DOM 09,905
LMXDX16,906
DIRMX  14,907
2MLRMX15,908
DIRMX-18,909
TMT-19,910
DIRMX  18,911
TMXTEO 17,912
TMI-12,913
DOMQ 13,914
APL-16,915
2TMI-20,916
2APL 19,917
DTM 17,918
IVM 26,919
ILZPN2-18,920
IGDMX-11,921
IGDMX  11,922
IMZMX  20,923
TMEQ 16,924
DGDMX  11,925
TMXTEV 16,926
TMXTEO-11,927
3ILZPN-17,928
TMXHUI 20,929
RTOMX 05,930
UMYJN-14,931
RTOMX  15,932
3ILZPN17,933
IVM-19,934
IMZMX  17,935
AIRVC  17,936
APL 21,937
TMI 21,938
TMI 06,939
FXXMZ-20,940
AIRVC  07,941
SERV.21-24,942
DOM 23,943
TMXTEV 19,944
APL 19,945
FAZXX  21,946
FXXMZ 16,947
IMIMX 17,948
MMYMX-14,949
TPJM-15,950
LMXXI15,951
FXXMZ 17,952
TMT-17,953
DIRMX-16,954
ASLMX-13,955
AVM-07,956
TMT-08,957
TMEQ 21,958
LESMX 16,959
QCTIR-15,960
IMZMX 17,961
TMI-26,962
IMIMX  22,963
FXXMZ 12,964
AVM 07,965
2DOM 23,966
DIRMX 20,967
ASLMX13,968
TMA 17,969
TMXHUI 17,970
RTOMX  11,971
OPJM-13,972
TMXTEO-13,973
IMZMX  24,974
2MMYMX22,975
AOM 19,976
IMIMX  16,977
CBPNTL 13,978
TMT 13,979
IMIMX-20,980
APL 22,981
FMZXX  23,982
OPMQ 21,983
IVM-16,984
MLRMX15,985
TMI 15,986
TMXTEO-15,987
IMIMX 13,988
OPMQ 13,989
QCTIR-24,990
FMZXX  12,991
MLRMX-20,992
QCTIR-21,993
TMT 27,994
IMIMX  23,995
2MLRMX24,996
LMXDX25,997
ILZPN-20,998
TMTQ 18,999
ILZPN16,1000
MLRMX16,1001
GKCMXI-08,1002
2IVM 15,1003
AHM 26,1004
AVM-21,1005
OPMQ 20,1006
OPJM-28,1007
TMXTEV 28,1008
ILZPN-21,1009
DJM 22,1010
GKCMXI-04,1011
TMXTEV 21,1012
OPMQ 24,1013
ILZPN27,1014
OPJM-21,1015
FXXMZ-22,1016
TMXTEO 22,1017
IMZMX-15,1018
LESMX-14,1019
TMXHUI-15,1020
LESMX-15,1021
2MLRMX19,1022
FXXMZ 22,1023
LMXXI22,1024
QCTIR-17,1025
AVM 16,1026
TMI 17,1027
DOM 21,1028
TMI-28,1029
APL 01,1030
OJM-22,1031
DJZMX  25,1032
IVM-25,1033
IVM-18,1034
QCTIR 17,1035
AIRVC  21,1036
MMYMX-23,1037
MMYMX-16,1038
OPJM-17,1039
DVM 16,1040
MMYMX-17,1041
IVM 18,1042
IMZMX  01,1043
ILZPN228,1044
XRTOMX 28,1045
FVM 03,1046
GKCMXI13,1047
IMZMX-23,1048
GSFMX  11,1049
MMYMX17,1050
2MLRMX-21,1051
AGDMX-25,1052
GKCMXI09,1053
2ILZPN-23,1054
TMI 24,1055
LMXXI24,1056
XRTOMX 21,1057
FMZXX  19,1058
AOM 03,1059
TMT-02,1060
2MMYMX28,1061
DIRMX  26,1062
TMXHUI-22,1063
APL-22,1064
DCM 17,1065
IMIMX 26,1066
RTOMX  17,1067
GNLMX-11,1068
TIM 20,1069
DTM 25,1070
AIRVC-28,1071
FXXMZ 28,1072
AVM 27,1073
OPJM-24,1074
TMXTEO 24,1075
MLRMX 17,1076
2AVM 25,1077
FAZXX  26,1078
AHM-24,1079
MVCMX-26,1080
QCTIR-22,1081
ILZPN22,1082
TMI 18,1083
DOM 18,1084
AIRVC  03,1085
AHRVC-22,1086
TMI-27,1087
ILZPN01,1088
IMIMX  19,1089
ILZPN-01,1090
WAIRMX 18,1091
2ILZPN17,1092
DTM 24,1093
CBPNCX 18,1094
TMEQ 23,1095
FXXMZ-03,1096
DIRMX-22,1097
FXXMZ-04,1098
OPMQ 23,1099
DIRMX  22,1100
MMYMX-19,1101
TMXHUI 03,1102
CBPNCX-02,1103
MMYMX19,1104
IVM 23,1105
LMXDX23,1106
2MLRMX27,1107
QCTIR-27,1108
DTM 23,1109
LMXXI-27,1110
TMXTEV 23,1111
TMA 01,1112
MLRMX-01,1113
TMXTEO 05,1114
IMIMX  14,1115
GVM 03,1116
QCTIR 27,1117
2AVM-04,1118
MLRMX-28,1119
TMTQ 14,1120
ILZPN08,1121
TMEQ 14,1122
2AVM 04,1123
DPM 05,1124
ILZPN224,1125
IVM 25,1126
FXXMZ 24,1127
DPNMX  02,1128
OPMQ-03,1129
TMXTEO 27,1130
2IVM 01,1131
TMI-06,1132
DPM 14,1133
TMI 05,1134
TMI 01,1135
2AVM 06,1136
MMYMX-28,1137
TMXTEO-01,1138
ILZPN-02,1139
2LESMX-25,1140
2LESMX25,1141
IVM-27,1142
IVM 27,1143
TMXHUI13,1144
LESMX-07,1145
TMXHUI 24,1146
FMZXX-05,1147
RTOMX 06,1148
BMYBV05,1149
FVM 04,1150
APL-08,1151
IMIMX-22,1152
TMT-26,1153
DIRMX-07,1154
IMIMX  21,1155
MMYMX05,1156
AVM-08,1157
TMXTEO 10,1158
VMTMX-01,1159
AHM-08,1160
MMYMX-09,1161
DIRMX-11,1162
AOM 07,1163
TMXHU 13,1164
DOM 06,1165
ILZPN14,1166
DTM 08,1167
MMYMX-08,1168
MMYMX12,1169
MVCMX-07,1170
DIRMX 07,1171
DPNMX  06,1172
FXXMZ-14,1173
2MLRMX-11,1174
GNLMX10,1175
FXXMZ-07,1176
AOM-15,1177
AVM 06,1178
TMI-14,1179
TMXTEO-08,1180
OPJM 08,1181
TMTQ-25,1182
TMTQ 25,1183
DIRMX-24,1184
IMZMX-24,1185
2AVM 15,1186
TMXTEO 15,1187
OPMQ-15,1188
ILZPN06,1189
2IVM-15,1190
LESMX 14,1191
2MLRMX11,1192
FAZXX-11,1193
MMYMX-11,1194
IMZMX 09,1195
IMZMX  09,1196
2APL-17,1197
2DTM 17,1198
